,county_fips_code,county_name,date,confirmed_cases,deaths,total_pop,male_pop,female_pop,median_income,median_rent,poverty,employed_pop,unemployed_pop,worked_at_home,walked_to_work,different_house_year_ago_different_city,different_house_year_ago_same_city
2645,48385,Real ,2021-01-19,263,12,3358.0,1553.0,1805.0,36493.0,565.0,657.0,1281.0,83.0,143.0,89.0,449.0,109.0
2646,48411,San Saba ,2021-01-19,487,15,5851.0,2949.0,2902.0,40301.0,443.0,897.0,2475.0,81.0,99.0,53.0,800.0,177.0
2647,48387,Red River ,2021-01-19,549,31,12353.0,5803.0,6550.0,35356.0,352.0,1995.0,4770.0,470.0,199.0,134.0,1045.0,550.0
2648,48123,DeWitt ,2021-01-19,1553,50,20474.0,10697.0,9777.0,50960.0,540.0,2975.0,7965.0,551.0,302.0,181.0,1737.0,814.0
2649,48261,Kenedy ,2021-01-19,30,2,564.0,280.0,284.0,24800.0,450.0,140.0,183.0,0.0,0.0,5.0,32.0,13.0
2650,48309,McLennan ,2021-01-19,21894,344,245720.0,119894.0,125826.0,46262.0,644.0,45691.0,112592.0,6057.0,4002.0,1830.0,29750.0,18120.0
2651,48181,Grayson ,2021-01-19,8983,225,126146.0,61556.0,64590.0,52683.0,654.0,17605.0,57373.0,4014.0,3299.0,1007.0,14701.0,6077.0
2652,48251,Johnson ,2021-01-19,14435,213,160173.0,79887.0,80286.0,60458.0,738.0,17201.0,72273.0,3736.0,2681.0,836.0,13308.0,3998.0
2653,48373,Polk ,2021-01-19,2492,70,46974.0,25288.0,21686.0,43267.0,485.0,8120.0,17988.0,1664.0,706.0,292.0,6117.0,770.0
2654,48259,Kendall ,2021-01-19,1890,44,40306.0,19568.0,20738.0,81023.0,956.0,2255.0,18640.0,858.0,1386.0,420.0,5766.0,847.0
2655,48097,Cooke ,2021-01-19,2806,48,39064.0,19358.0,19706.0,60027.0,601.0,5313.0,18724.0,1023.0,843.0,285.0,4711.0,1704.0
2656,48215,Hidalgo ,2021-01-19,56455,2018,839539.0,410383.0,429156.0,37097.0,541.0,263891.0,313678.0,27566.0,15026.0,3580.0,50429.0,25833.0
2657,48245,Jefferson ,2021-01-19,15937,263,254574.0,130404.0,124170.0,46315.0,651.0,46222.0,105319.0,7276.0,1631.0,710.0,22633.0,14106.0
2658,48341,Moore ,2021-01-19,2116,57,22016.0,11466.0,10550.0,52469.0,543.0,3677.0,10591.0,456.0,65.0,240.0,1399.0,1447.0
2659,48363,Palo Pinto ,2021-01-19,2298,50,28109.0,13904.0,14205.0,45067.0,545.0,5048.0,11724.0,1001.0,519.0,243.0,3242.0,2241.0
2660,48467,Van Zandt ,2021-01-19,3154,77,53607.0,26307.0,27300.0,50061.0,588.0,7489.0,22384.0,1407.0,1405.0,218.0,5285.0,969.0
2661,48477,Washington ,2021-01-19,1668,69,34667.0,17199.0,17468.0,55793.0,687.0,4298.0,14897.0,979.0,523.0,147.0,2919.0,632.0
2662,48061,Cameron ,2021-01-19,32698,1126,420201.0,203657.0,216544.0,36095.0,529.0,129912.0,153938.0,13375.0,3654.0,2034.0,16794.0,18539.0
2663,48397,Rockwall ,2021-01-19,8222,78,90414.0,44463.0,45951.0,93269.0,1094.0,5222.0,44335.0,2306.0,2575.0,213.0,9021.0,2379.0
2664,48367,Parker ,2021-01-19,11314,115,125963.0,62545.0,63418.0,70608.0,746.0,11339.0,58626.0,3417.0,2960.0,550.0,14784.0,2490.0
2665,48005,Angelina ,2021-01-19,6765,193,87700.0,42707.0,44993.0,46472.0,603.0,16222.0,36164.0,2971.0,777.0,613.0,11389.0,4035.0
2666,48463,Uvalde ,2021-01-19,2733,48,27015.0,13188.0,13827.0,40781.0,477.0,4735.0,11605.0,726.0,333.0,123.0,2125.0,1069.0
2667,48183,Gregg ,2021-01-19,8451,221,123402.0,60366.0,63036.0,47970.0,660.0,21028.0,55237.0,2772.0,1523.0,1073.0,13449.0,11368.0
2668,48457,Tyler ,2021-01-19,999,19,21456.0,11726.0,9730.0,44396.0,494.0,2947.0,6746.0,709.0,325.0,67.0,2638.0,260.0
2669,48299,Llano ,2021-01-19,805,30,20195.0,9848.0,10347.0,50524.0,593.0,2495.0,7660.0,689.0,696.0,190.0,2253.0,763.0
2670,48093,Comanche ,2021-01-19,1118,36,13492.0,6710.0,6782.0,42419.0,342.0,2407.0,5454.0,203.0,206.0,145.0,854.0,180.0
2671,48205,Hartley ,2021-01-19,317,2,5821.0,3524.0,2297.0,64427.0,640.0,347.0,2049.0,25.0,95.0,46.0,599.0,213.0
2672,48069,Castro ,2021-01-19,832,22,7891.0,3958.0,3933.0,44643.0,482.0,1232.0,3289.0,144.0,128.0,77.0,575.0,286.0
2673,48399,Runnels ,2021-01-19,1085,28,10266.0,5050.0,5216.0,41226.0,360.0,1624.0,4184.0,139.0,117.0,109.0,310.0,199.0
